Date,Type,Action,Symbol,Quantity,Average Price,Commissions
06/30/2026 11:05:00,Trade,SELL_TO_OPEN,/ESU6,2,6341.50,2.50
06/30/2026 12:27:00,Trade,BUY_TO_CLOSE,/ESU6,2,6335.25,2.50
06/30/2026 14:33:00,Trade,BUY_TO_OPEN,/ESU6,1,6337.00,2.50
06/30/2026 15:18:00,Trade,SELL_TO_CLOSE,/ESU6,1,6334.50,2.50
07/01/2026 09:37:00,Trade,BUY_TO_OPEN,/ESU6,2,6330.00,2.50
07/01/2026 10:48:00,Trade,SELL_TO_CLOSE,/ESU6,2,6321.25,2.50
07/01/2026 11:33:00,Trade,BUY_TO_OPEN,/ESU6,2,6323.50,2.50
07/01/2026 12:09:00,Trade,SELL_TO_CLOSE,/ESU6,2,6317.75,2.50
07/01/2026 14:41:00,Trade,BUY_TO_OPEN,/ESU6,1,6319.00,2.50
07/01/2026 15:26:00,Trade,SELL_TO_CLOSE,/ESU6,1,6315.25,2.50
07/02/2026 09:39:00,Trade,BUY_TO_OPEN,/ESU6,2,6318.25,2.50
07/02/2026 11:02:00,Trade,SELL_TO_CLOSE,/ESU6,2,6329.50,2.50
07/02/2026 13:15:00,Trade,BUY_TO_OPEN,/ESU6,2,6331.00,2.50
07/02/2026 14:44:00,Trade,SELL_TO_CLOSE,/ESU6,2,6338.75,2.50
07/06/2026 09:34:00,Trade,SELL_TO_OPEN,/ESU6,2,6344.00,2.50
07/06/2026 10:29:00,Trade,BUY_TO_CLOSE,/ESU6,2,6336.50,2.50
07/06/2026 11:46:00,Trade,BUY_TO_OPEN,/ESU6,1,6338.25,2.50
07/06/2026 12:52:00,Trade,SELL_TO_CLOSE,/ESU6,1,6342.00,2.50
07/06/2026 14:28:00,Trade,BUY_TO_OPEN,/ESU6,2,6340.75,2.50
07/06/2026 15:33:00,Trade,SELL_TO_CLOSE,/ESU6,2,6347.25,2.50
07/07/2026 09:41:00,Trade,BUY_TO_OPEN,/ESU6,1,6352.00,2.50
07/07/2026 10:23:00,Trade,SELL_TO_CLOSE,/ESU6,1,6346.75,2.50
07/07/2026 11:37:00,Trade,SELL_TO_OPEN,/ESU6,1,6345.00,2.50
07/07/2026 12:41:00,Trade,BUY_TO_CLOSE,/ESU6,1,6349.50,2.50
07/08/2026 09:36:00,Trade,BUY_TO_OPEN,/ESU6,3,6351.25,2.50
07/08/2026 10:44:00,Trade,SELL_TO_CLOSE,/ESU6,3,6363.00,2.50
07/08/2026 11:28:00,Trade,BUY_TO_OPEN,/ESU6,2,6361.50,2.50
07/08/2026 12:36:00,Trade,SELL_TO_CLOSE,/ESU6,2,6368.25,2.50
07/08/2026 14:02:00,Trade,SELL_TO_OPEN,/ESU6,1,6369.00,2.50
07/08/2026 14:51:00,Trade,BUY_TO_CLOSE,/ESU6,1,6365.75,2.50
07/08/2026 15:20:00,Trade,BUY_TO_OPEN,/ESU6,2,6366.50,2.50
07/08/2026 15:52:00,Trade,SELL_TO_CLOSE,/ESU6,2,6372.00,2.50
07/09/2026 09:43:00,Trade,SELL_TO_OPEN,/ESU6,2,6374.25,2.50
07/09/2026 10:31:00,Trade,BUY_TO_CLOSE,/ESU6,2,6379.50,2.50
07/09/2026 11:52:00,Trade,BUY_TO_OPEN,/ESU6,2,6380.00,2.50
07/09/2026 13:14:00,Trade,SELL_TO_CLOSE,/ESU6,2,6374.75,2.50
07/09/2026 14:36:00,Trade,BUY_TO_OPEN,/ESU6,1,6376.50,2.50
07/09/2026 15:29:00,Trade,SELL_TO_CLOSE,/ESU6,1,6381.25,2.50
07/10/2026 09:35:00,Trade,BUY_TO_OPEN,/ESU6,2,6383.00,2.50
07/10/2026 10:47:00,Trade,SELL_TO_CLOSE,/ESU6,2,6394.25,2.50
07/10/2026 11:33:00,Trade,BUY_TO_OPEN,/ESU6,2,6392.50,2.50
07/10/2026 12:41:00,Trade,SELL_TO_CLOSE,/ESU6,2,6399.75,2.50
07/10/2026 14:18:00,Trade,BUY_TO_OPEN,/ESU6,1,6398.00,2.50
07/10/2026 15:04:00,Trade,SELL_TO_CLOSE,/ESU6,1,6395.25,2.50
07/12/2026 09:32:00,Trade,BUY_TO_OPEN,/ESU6,2,6401.50,2.50
07/12/2026 10:19:00,Trade,SELL_TO_CLOSE,/ESU6,2,6412.75,2.50
07/12/2026 11:05:00,Trade,SELL_TO_OPEN,/ESU6,2,6414.00,2.50
07/12/2026 11:58:00,Trade,BUY_TO_CLOSE,/ESU6,2,6407.25,2.50
07/12/2026 13:27:00,Trade,BUY_TO_OPEN,/ESU6,1,6409.00,2.50
07/12/2026 14:12:00,Trade,SELL_TO_CLOSE,/ESU6,1,6404.50,2.50
07/12/2026 14:48:00,Trade,BUY_TO_OPEN,/ESU6,2,6406.25,2.50
07/12/2026 15:37:00,Trade,SELL_TO_CLOSE,/ESU6,2,6415.00,2.50
